customer_id,last_purchase_date,total_orders,total_spent,region,channel,preferred_discount,loyalty_score,recency_days,is_dormant
CUST0000,2025-06-12,4,318.04,North,Mobile,0.14565955489484633,0.03771960790458517,46,0
CUST0001,2024-09-30,6,181.54,East,InStore,0.3112237933233673,0.54453867772268,301,1
CUST0002,2025-03-19,3,314.99,South,Web,0.1668930246174466,0.5379341239256888,131,1
CUST0003,2025-04-28,1,871.96,North,Mobile,0.34971013628502884,0.5715060176998887,91,0
CUST0004,2025-07-12,2,180.3,South,Web,0.17684438016095855,0.6378590106527814,16,0
CUST0005,2025-07-12,2,67.25,North,InStore,0.18965954206766478,0.8471119508589167,16,0
CUST0006,2025-07-23,6,199.98,West,InStore,0.24003577920016167,0.10032206030367607,5,1
CUST0007,2025-01-08,8,66.19,West,Web,0.16178822986701358,0.8390019137943804,201,1
CUST0008,2025-04-28,6,124.57,North,Web,0.08525933644113293,0.6372470496919662,91,0
CUST0009,2025-03-27,0,250.72,South,InStore,0.21847400650990328,0.4810527516652629,123,1
CUST0010,2025-07-26,10,109.04,North,Web,0.3317829563362822,0.1700481011592912,2,0
CUST0011,2024-08-12,2,570.65,East,Web,0.16307541822849908,0.8410224950064326,350,1
CUST0012,2025-01-31,5,162.19,East,Mobile,0.40481582578216463,0.6557992965636685,178,1
CUST0013,2025-07-05,8,503.16,East,Web,0.41037462593140644,0.4962643377838556,23,1
CUST0014,2025-07-08,5,71.0,East,InStore,0.10431730328041389,0.7555104484705506,20,0
CUST0015,2025-07-08,4,79.09,West,InStore,0.13496398621941796,0.4017996208941294,20,0
CUST0016,2025-06-22,3,206.84,West,InStore,0.0011583935544705604,0.47090341847663963,36,1
CUST0017,2025-05-15,7,107.65,East,Web,0.1763573232807802,0.3618599700230042,74,1
CUST0018,2025-06-02,7,94.06,South,Web,0.4563990607604788,0.4096061421426691,56,1
CUST0019,2025-06-24,3,282.19,East,Mobile,0.3911680298911661,0.34657710070008074,34,1
CUST0020,2025-04-25,3,76.22,North,Mobile,0.48023132328739093,0.7606592657988773,94,1
CUST0021,2025-07-13,2,464.56,West,Web,0.10711628965948977,0.08619040086648738,15,0
CUST0022,2025-06-24,2,325.47,East,Web,0.28615120673544325,0.4652706847009966,34,0
CUST0023,2025-06-13,7,331.26,South,Web,0.18235932664942472,0.27836036488894006,45,0
CUST0024,2025-05-29,4,477.67,North,Mobile,0.3079392158836456,0.502695287669239,60,1
CUST0025,2025-02-25,1,338.86,North,InStore,0.37204265710255174,0.6535960523677404,153,1
CUST0026,2025-07-06,3,167.5,South,InStore,0.04747131714919456,0.3750883528067012,22,0
CUST0027,2025-05-17,10,405.05,North,Mobile,0.04390834830599061,0.6937801139913988,72,0
CUST0028,2025-04-30,3,189.1,South,Web,0.054401552890328275,0.4073553586201515,89,1
CUST0029,2025-07-24,6,239.64,South,Web,0.1404037924601827,0.6624454200161574,4,0
CUST0030,2025-04-26,4,250.12,North,Mobile,0.37237127943626086,0.9128052285169137,93,0
CUST0031,2025-07-10,5,68.06,West,InStore,0.3192938040691042,0.7832606827871598,18,0
CUST0032,2025-07-22,3,481.56,South,Mobile,0.15015467411851957,0.751820368948719,6,0
CUST0033,2024-10-04,7,472.99,West,InStore,0.4280252962013731,0.659789632704001,297,1
CUST0034,2024-08-25,5,143.61,South,Mobile,0.3643116073946228,0.6338967955429764,337,1
CUST0035,2025-02-13,2,112.26,East,Mobile,0.4864177775040924,0.6233398600328904,165,1
CUST0036,2025-06-22,6,245.16,West,InStore,0.34281753822963756,0.36089760887505895,36,0
CUST0037,2025-07-18,3,506.89,North,Web,0.3585992151458182,0.32265020384912113,10,0
CUST0038,2025-04-04,2,82.86,East,Mobile,0.4116874004158393,0.2350436992872787,115,1
CUST0039,2025-05-31,7,104.65,West,Mobile,0.4627301128853314,0.5906271847324096,58,1
CUST0040,2025-07-15,6,693.72,South,Web,0.1386750634868582,0.25899523357173504,13,0
CUST0041,2025-05-21,3,20.79,North,InStore,0.3229666232683199,0.5775133390288515,68,1
CUST0042,2025-07-25,5,154.54,West,Mobile,0.2061530622732849,0.7860627988510827,3,0
CUST0043,2024-11-30,7,400.4,North,Web,0.11473231805159279,0.5541418721611996,240,1
CUST0044,2025-06-29,4,564.06,North,Web,0.09606105275771515,0.48950537133977573,29,0
CUST0045,2025-04-11,4,516.92,North,Web,0.049017867691162564,0.585327368299511,108,1
CUST0046,2025-06-21,3,111.52,North,InStore,0.4242130771994552,0.732740411271292,37,0
CUST0047,2025-05-16,6,302.14,East,Mobile,0.005714809544097199,0.3920205266441381,73,1
CUST0048,2025-05-10,4,397.0,East,Mobile,0.4973548149565448,0.429342583588357,79,0
CUST0049,2025-07-08,5,319.85,West,Web,0.48234127065562615,0.16441634786639164,20,0
CUST0050,2024-08-13,7,1531.3,East,Web,0.2653845699421277,0.6113170199955117,349,1
CUST0051,2025-03-01,4,112.89,South,Web,0.3713911373873866,0.37628823038159015,149,1
CUST0052,2024-10-21,3,366.68,North,InStore,0.2291563430360105,0.8626452335719305,280,1
CUST0053,2024-12-15,1,8.89,North,Mobile,0.10977460682209861,0.21490955080644109,225,1
CUST0054,2025-04-28,5,299.4,West,Web,0.36953115126135305,0.46581099188113245,91,1
CUST0055,2024-11-16,8,28.04,East,Mobile,0.224197480361371,0.5329821380486861,254,1
CUST0056,2025-07-19,5,506.88,South,InStore,0.4330689136550133,0.6400891173918242,9,1
CUST0057,2025-07-07,5,485.93,East,InStore,0.43023339727919513,0.6126953984482275,21,1
CUST0058,2025-07-24,3,181.14,North,Web,0.4791501000207552,0.937441733498398,4,0
CUST0059,2025-06-19,3,256.07,South,Mobile,0.3492248547842804,0.7975962601027741,39,0
CUST0060,2025-06-09,6,596.04,East,Web,0.24619511265330102,0.36020494103717315,49,0
CUST0061,2025-06-27,5,271.98,East,Mobile,0.2804564306954367,0.6574380361408225,31,0
CUST0062,2025-02-02,7,247.11,West,Mobile,0.17940929826107088,0.6118308371839809,176,1
CUST0063,2025-06-14,6,20.91,West,Web,0.3297097320893501,0.35066966041878467,44,0
CUST0064,2025-06-26,8,148.75,South,InStore,0.04611321322514739,0.7026690452635737,32,1
CUST0065,2025-05-11,8,42.01,South,Mobile,0.49582261781277714,0.4953319361748204,78,0
CUST0066,2025-07-13,8,55.69,South,Mobile,0.031581642355825335,0.4525759131346804,15,0
CUST0067,2025-02-16,9,301.83,North,Web,0.3013135727510357,0.23399622837994843,162,1
CUST0068,2025-07-21,5,284.01,West,Mobile,0.1453227979470047,0.23511935122644745,7,0
CUST0069,2024-05-21,3,202.82,East,Web,0.411086882551205,0.694527512586769,433,1
CUST0070,2025-03-03,4,323.31,South,Web,0.3149549427851333,0.4617196317178705,147,1
CUST0071,2025-07-06,5,237.62,North,InStore,0.30369015392268073,0.7427561159320761,22,0
CUST0072,2025-07-28,6,194.04,South,Web,0.3742778086611876,0.444662195671763,0,1
CUST0073,2025-02-10,7,336.72,West,InStore,0.05904257922707601,0.41717431286755313,168,1
CUST0074,2025-03-28,4,814.38,North,Mobile,0.15586213376258018,0.8328244394016764,122,1
CUST0075,2025-03-20,6,101.19,North,Web,0.2529439370934305,0.672591189296115,130,1
